name,parent,url,summary,
The New School,,,,
Parsons School of Design,The New School,,,
Communication Design,Parsons School of Design,,,
Core 1: Interaction (2020),Communication Design,,,
"Core Lab Interaction (2019, 2020)",Communication Design,,,
Creative Computing (2019),Communication Design,,,
Columbia University,,,,
Barnard College,Columbia University,,,
Religion Department,Barnard College,,,
"Religion In The Archive (2018, 2019, 2022)",Religion Department,,Instructional technologist and archives assistant,
