name,parent,url,summary
International Center of Photography,,,
Ideas & Images (2019),International Center of Photography,,"with <a href=""https://www.icp.org/users/fredritchin"" target=""_blank"">Fred Ritchin</a>"
"Image Strategies for Human Rights (2019, 2020)",International Center of Photography,,"with <a href=""https://www.icp.org/users/fredritchin"" target=""_blank"">Fred Ritchin</a>"
Magnum Foundation,,,
Photography Expanded Lab,Magnum Foundation,,
Counter Histories (2018),Photography Expanded Lab,,
On Migration Lab (2018),Photography Expanded Lab,,
Photography and Social Justice Fellowship (2019),Magnum Foundation,,"with <a href=""https://www.icp.org/users/fredritchin"" target=""_blank"">Fred Ritchin</a>"
Bard High School Early College Manhattan,,,
"Media Literacy (2020, 2021)",Bard High School Early College Manhattan,,"with <a href=""http://www.alexislambrou.com/"" target=""_blank"">Alexis Lambrou</a>"
